Image,F1,Jaccard,Recall,Precision
2909.png,0.8506412908564335,0.740100791936645,0.7547723935389133,0.9744075829383886
1207.png,0.7790262172284644,0.6380368098159509,0.6380368098159509,1.0
2593.png,0.8612221587664192,0.7562688064192578,0.7717502558853634,0.9741602067183462
184.png,0.6424442609413707,0.4732360097323601,0.9152941176470588,0.494910941475827
2060.png,0.0,0.0,0.0,0.0
159.png,0.8889618922470433,0.8001182732111177,0.839851024208566,0.9441730635031402
512.png,0.9767201241593378,0.9544994944388271,0.9617931737137035,0.9921177088807147
2732.png,0.617096018735363,0.4462320067739204,0.9245614035087719,0.46309314586994726
2994.png,0.0,0.0,0.0,0.0
2394.png,0.4868961161982949,0.3217863105175292,0.4611244019138756,0.5157190635451505
1420.png,0.9296375266524519,0.8685258964143426,0.8861788617886179,0.9775784753363229
1814.png,0.850909090909091,0.740506329113924,0.9790794979079498,0.752411575562701
782.png,0.9247071946458449,0.8599585062240664,0.9916267942583732,0.8662486938349008
1437.png,0.9041248606465998,0.8250254323499492,0.99265605875153,0.8300921187308086
2300.png,0.34345939243645385,0.20733532934131738,1.0,0.20733532934131738
2801.png,0.8063897763578275,0.6755888650963597,0.8521269412559082,0.7653123104912067
2418.png,0.8201892744479495,0.6951871657754011,0.7416462917685411,0.9173387096774194
1955.png,0.8005908419497785,0.6674876847290641,0.6895674300254453,0.954225352112676
1342.png,0.7519858781994704,0.6025459688826026,0.6051136363636364,0.993006993006993
1585.png,0.46928028086600354,0.3065749235474006,0.31013147718484146,0.9639423076923077
6.png,0.2670807453416149,0.15412186379928317,0.15412186379928317,1.0
718.png,0.6423357664233577,0.4731182795698925,0.5201668984700973,0.8395061728395061
437.png,0.8368794326241135,0.7195121951219512,0.7195121951219512,1.0
1792.png,0.5936395759717314,0.4221105527638191,0.9333333333333333,0.43523316062176165
1681.png,0.9358638743455497,0.8794587945879458,0.9154929577464789,0.9571619812583668
750.png,0.7651995905834187,0.6196949602122016,0.7082228116710876,0.832146037399822
1826.png,0.9305508039685253,0.8701215611004478,0.898876404494382,0.9645390070921985
2061.png,0.9114139693356049,0.837245696400626,0.8615136876006442,0.9674502712477396
2858.png,0.36670179135932557,0.22451612903225807,0.22451612903225807,1.0
2101.png,0.32510288065843623,0.1941031941031941,0.1941031941031941,1.0
1006.png,0.8198581560283689,0.6947115384615384,0.7297979797979798,0.9352750809061489
2808.png,0.8169014084507042,0.6904761904761905,0.9843342036553525,0.6981481481481482
1803.png,0.0,0.0,0.0,0.0
1491.png,0.0,0.0,0.0,0.0
3012.png,0.0,0.0,0.0,0.0
2566.png,0.0,0.0,0.0,0.0
841.png,0.8062709966405375,0.6754221388367729,0.9769335142469471,0.6863679694947569
2922.png,0.9118198874296436,0.8379310344827586,0.9935747663551402,0.8424962852897474
2359.png,0.6161683277962348,0.4452624839948784,0.8289630512514898,0.4903066619668664
1304.png,0.8654004954582989,0.7627365356622998,0.8061538461538461,0.9340463458110517
1063.png,0.6139630390143737,0.44296296296296295,0.44296296296296295,1.0
769.png,0.8376768428890542,0.7206918641896221,0.9087237479806138,0.7769337016574586
2246.png,0.8581644815256257,0.7515657620041754,0.7947019867549668,0.9326424870466321
2362.png,0.605524861878453,0.43423137876386686,0.48324514991181655,0.8106508875739645
550.png,0.0,0.0,0.0,0.0
2878.png,0.4397689768976898,0.28186144896879956,0.2830589484864578,0.9852125693160814
1021.png,0.8891820580474934,0.8004750593824228,0.8113964686998395,0.9834630350194552
197.png,0.8696624189581936,0.7693829113924051,0.7789347216659992,0.9843117408906883
1274.png,0.9005524861878453,0.8190954773869347,0.8316326530612245,0.9819277108433735
915.png,0.6650246305418719,0.4981549815498155,0.5053813757604118,0.9720972097209721
2360.png,0.25436934091387664,0.14571773220747888,0.38179519595448796,0.19071676665614146
1553.png,0.8209219858156028,0.6962406015037594,0.7145061728395061,0.9645833333333333
2262.png,0.9358398038414386,0.879416282642089,0.9686971235194586,0.9051383399209486
2096.png,0.7100656455142231,0.5504664970313825,0.5673076923076923,0.9488304093567251
2385.png,0.9115723628092124,0.8375130616509927,0.8375130616509927,1.0
2073.png,0.3828478378867378,0.2367420004475274,0.3672335994446373,0.399848828420257
979.png,0.721189591078067,0.563953488372093,0.6632478632478632,0.790224032586558
1658.png,0.0,0.0,0.0,0.0
864.png,0.7863013698630136,0.6478555304740407,0.6597701149425287,0.9728813559322034
2571.png,0.0,0.0,0.0,0.0
1269.png,0.88268156424581,0.79,0.8494623655913979,0.9186046511627907
985.png,0.6602254428341384,0.49278846153846156,0.5310880829015544,0.8723404255319149
847.png,0.8233676975945017,0.6997663551401869,0.7404202719406675,0.9272445820433437
1218.png,0.6164383561643835,0.44554455445544555,0.47368421052631576,0.8823529411764706
926.png,0.9394812680115273,0.8858695652173914,0.9644970414201184,0.9157303370786517
2029.png,0.8711409395973154,0.7717003567181926,0.7866666666666666,0.9759398496240601
559.png,0.6617375231053604,0.494475138121547,0.494475138121547,1.0
16.png,0.798004987531172,0.6639004149377593,0.898876404494382,0.7174887892376681
1972.png,0.6921778277996623,0.5292598967297762,0.6699346405228758,0.7159487776484285
2837.png,0.0,0.0,0.0,0.0
1050.png,0.9238343469446858,0.8584499461786868,0.8649674620390455,0.9912989434431324
2971.png,0.6389333333333334,0.46943573667711597,0.47805267358339987,0.9630225080385852
